[06/11/2023 19:35:31] [INFO] received Windows console close event; shutting log-core down
[09/11/2023 19:29:38] [INFO] received Windows console close event; shutting log-core down
[09/11/2023 19:31:39] [INFO] received Windows console close event; shutting log-core down
[09/11/2023 19:33:06] [INFO] received Windows console close event; shutting log-core down
[09/11/2023 19:33:15] [INFO] received Windows console close event; shutting log-core down
[09/11/2023 19:33:57] [INFO] received Windows console close event; shutting log-core down
[09/11/2023 19:44:59] [INFO] received Windows console close event; shutting log-core down
[09/11/2023 19:46:14] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 14:27:22] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 14:48:20] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 14:59:29] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 15:01:39] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 15:04:57] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 15:05:12] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 15:16:56] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 15:17:13] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 23:04:34] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 23:04:51] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 23:06:42] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 23:07:08] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 23:12:05] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 23:13:16] [INFO] received Windows console close event; shutting log-core down
[10/11/2023 23:14:46] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 09:30:48] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 11:59:32] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:00:04] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:00:22] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:00:38] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:01:03] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:01:04] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:14:44] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:14:48] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:17:21] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 12:17:25] [INFO] received Windows console close event; shutting log-core down
[11/11/2023 18:04:56] [INFO] received Windows console close event; shutting log-core down
